Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
Alabama,7.5,16.2,0.23,0.03
Alaska,12.5,16.8,0.14,0.05
Arizona,11.4,20.3,0.12,0.07
Arkansas,5.9,14,-0.18,0.01
California,4.9,11.2,0,-0.01
Colorado,9.5,16.6,0.09,0.08
Connecticut,24.5,27.4,0.28,0.24
Delaware,16.9,30.8,0.14,0.4
District of Columbia,30,38.8,1.07,1.09
Florida,14.4,23.7,0.53,0.46
Georgia,8.8,13.3,0.05,0.05
Hawaii,5.2,12.8,0.27,0.13
Idaho,7.4,15.2,0.23,0.07
Illinois,15.3,18.9,0.43,0.34
Indiana,12.6,24,0.48,0.23
Iowa,6.2,10.6,0.07,0.03
Kansas,5.1,11.1,-0.06,-0.06
Kentucky,23.6,33.5,0.12,0.12
Louisiana,7.7,21.8,0.22,0.15
Maine,25.2,28.7,0.31,0.35
Maryland,29.7,33.2,0.68,0.59
Massachusetts,29.7,33,0.27,0.28
Michigan,18.5,24.4,0.36,0.2
Minnesota,7.4,12.5,0.19,0.18
Mississippi,6.2,12.1,0.17,-0.02
Missouri,15.9,23.6,0.36,0.32
Montana,4.2,11.7,-0.16,-0.15
Nebraska,2.4,6.4,-0.23,-0.07
Nevada,13.3,21.7,-0.04,0.06
New Hampshire,35.8,39,0.14,0.14
New Jersey,16,23.2,0.63,0.42
New Mexico,17.5,25.2,-0.02,0
New York,15.1,18,0.4,0.32
North Carolina,15.4,19.7,0.29,0.25
North Dakota,7.6,10.6,0.58,0.23
Ohio,32.9,39.1,0.33,0.31
Oklahoma,11.6,21.5,0.04,0.13
Oregon,7.6,11.9,-0.04,-0.01
Pennsylvania,18.5,37.9,0.65,0.44
Rhode Island,26.7,30.8,0.14,0.09
South Carolina,13.1,18.1,0.15,0.15
South Dakota,5,8.4,0.43,0
Tennessee,18.1,24.5,0.13,0.1
Texas,4.9,10.1,0.04,0.07
Utah,16.4,22.4,0.03,-0.04
Vermont,18.4,22.2,0.37,0.33
Virginia,13.5,16.7,0.36,0.35
Washington,9.4,14.5,0.01,-0.01
West Virginia,43.4,52,0.21,0.25
Wisconsin,15.8,19.3,0.41,0.25
Wyoming,8.7,17.6,0.1,0.07